Date,Description,Amount,Type
03/11/2025,UPI/DR/UNKNOWN MERCHANT/P2M TXN 998877,24999,debit
04/11/2025,UPI/DR/ROHIT VERMA/MOVIE TICKETS SPLIT,600,debit
05/11/2025,UPI/DR/RAMESH PROPERTY/HOUSE RENT NOV,18000,debit
05/11/2025,UPI/DR/ZOMATO/FOOD ORDER,420,debit
05/11/2025,UPI/DR/UBER INDIA/TRIP,210,debit
08/11/2025,UPI/DR/AIRTEL/POSTPAID BILL NOV,899,debit
09/11/2025,UPI/DR/BLINKIT/GROCERIES,1680,debit
09/11/2025,UPI/DR/NYKAA/ORDER #NYK881,1450,debit
09/11/2025,UPI/DR/CRYPTO APP/TRANSFER 9988776655@UPI,2000,debit
10/11/2025,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/11/2025,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/11/2025,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
10/11/2025,UPI/DR/COURSERA/MONTHLY SUBSCRIPTION,2499,debit
12/11/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,560,debit
12/11/2025,UPI/DR/RAPIDO/BIKE TAXI,95,debit
12/11/2025,UPI/DR/BESCOM/ELECTRICITY BILL,1620,debit
15/11/2025,UPI/DR/FLIPKART/ORDER #FKT9934,2199,debit
15/11/2025,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
15/11/2025,UPI/DR/BOOKMYSHOW/MOVIE TICKETS,720,debit
16/11/2025,UPI/DR/KFC INDIA/KFC ORDER,620,debit
16/11/2025,UPI/DR/CRYPTO APP/TRANSFER 9988776655@UPI,2000,debit
17/11/2025,UPI/DR/PARENTS/FAMILY TRANSFER,10000,debit
18/11/2025,UPI/DR/OLA/RIDE BOOKING,220,debit
19/11/2025,UPI/DR/ZOMATO/FOOD ORDER,395,debit
20/11/2025,UPI/DR/1MG/MEDICINES ORDER,890,debit
22/11/2025,UPI/DR/AJIO/ORDER #AJO441,3499,debit
23/11/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,510,debit
23/11/2025,UPI/DR/CRYPTO APP/TRANSFER 9988776655@UPI,2000,debit
25/11/2025,UPI/DR/REDBUS/BUS TICKET,680,debit
26/11/2025,UPI/DR/BLINKIT/GROCERIES,2100,debit
28/11/2025,UPI/DR/PVR CINEMAS/TICKETS,880,debit
29/11/2025,UPI/DR/DOMINOS PIZZA/ONLINE ORDER,699,debit
30/11/2025,UPI/DR/CRYPTO APP/TRANSFER 9988776655@UPI,2000,debit
01/12/2025,NEFT/CR/INFOSYS LIMITED/SALARY DEC 2025,85000,credit
01/12/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,680,debit
01/12/2025,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/12/2025,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
01/12/2025,UPI/DR/HOTSTAR/ANNUAL RENEWAL,1499,debit
03/12/2025,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
03/12/2025,UPI/CR/OFFICE EXPENSE/REIMBURSEMENT,4500,credit
04/12/2025,UPI/DR/ZOMATO/FOOD ORDER,590,debit
05/12/2025,UPI/DR/RAMESH PROPERTY/HOUSE RENT DEC,18000,debit
05/12/2025,UPI/DR/UDEMY/COURSE PURCHASE,399,debit
06/12/2025,UPI/DR/UBER INDIA/TRIP,290,debit
07/12/2025,UPI/DR/BLINKIT/GROCERIES,2400,debit
08/12/2025,UPI/DR/AMAZON/ORDER #402-1122,1899,debit
08/12/2025,UPI/DR/AIRTEL/POSTPAID BILL DEC,899,debit
10/12/2025,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/12/2025,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/12/2025,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
10/12/2025,UPI/DR/MCDONALDS INDIA/MCDRIVE,780,debit
10/12/2025,UPI/DR/APOLLO PHARMACY/MEDICINES,650,debit
12/12/2025,UPI/DR/BESCOM/ELECTRICITY BILL,2100,debit
13/12/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,720,debit
15/12/2025,UPI/DR/MAKEMYTRIP/FLIGHT BLR DEL,4800,debit
15/12/2025,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
16/12/2025,UPI/DR/KFC INDIA/KFC ORDER,850,debit
18/12/2025,UPI/DR/MYNTRA/WINTER SALE #MYN,4299,debit
19/12/2025,UPI/DR/ZOMATO/FOOD ORDER,640,debit
20/12/2025,NEFT/CR/TECHSTART SOLUTIONS/CONSULTING FEE DEC,22000,credit
20/12/2025,UPI/DR/BOOKMYSHOW/NYE PARTY TICKETS,2500,debit
22/12/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,890,debit
22/12/2025,UPI/DR/PARENTS/CHRISTMAS GIFT TRANSFER,5000,debit
23/12/2025,UPI/DR/AMAZON/CHRISTMAS #402-XMAS,7899,debit
24/12/2025,UPI/DR/BLINKIT/GROCERIES,3200,debit
26/12/2025,UPI/DR/DOMINOS PIZZA/ONLINE ORDER,1299,debit
26/12/2025,UPI/DR/MAKEMYTRIP/FLIGHT DEL BLR,5200,debit
28/12/2025,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,760,debit
29/12/2025,UPI/DR/OLA/RIDE BOOKING,320,debit
30/12/2025,UPI/DR/ZOMATO/FOOD ORDER,820,debit
01/01/2026,NEFT/CR/INFOSYS LIMITED/SALARY JAN 2026,92000,credit
01/01/2026,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/01/2026,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
03/01/2026,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
03/01/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,490,debit
05/01/2026,UPI/DR/RAMESH PROPERTY/HOUSE RENT JAN,18000,debit
07/01/2026,UPI/DR/BLINKIT/GROCERIES,1890,debit
07/01/2026,UPI/DR/UBER INDIA/TRIP,195,debit
08/01/2026,UPI/DR/AIRTEL/POSTPAID BILL JAN,999,debit
08/01/2026,UPI/DR/STAR HEALTH/INSURANCE PREMIUM,8500,debit
10/01/2026,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/01/2026,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/01/2026,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
10/01/2026,UPI/DR/ZOMATO/FOOD ORDER,430,debit
10/01/2026,UPI/DR/AMIT KUMAR/TRIP SPLIT,3200,debit
12/01/2026,UPI/DR/FLIPKART/ORDER #FKT2201,1499,debit
12/01/2026,UPI/DR/BESCOM/ELECTRICITY BILL,1980,debit
14/01/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,520,debit
14/01/2026,UPI/DR/RAPIDO/BIKE TAXI,90,debit
15/01/2026,NEFT/DR/SBI/PPF ACCOUNT DEPOSIT,12500,debit
15/01/2026,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
15/01/2026,UPI/DR/COURSERA/MONTHLY SUBSCRIPTION,2499,debit
18/01/2026,UPI/DR/MCDONALDS INDIA/MCDRIVE,610,debit
18/01/2026,UPI/DR/BOOKMYSHOW/MOVIE TICKETS,700,debit
19/01/2026,UPI/DR/AMAZON/ORDER #402-NIGHT 02:47AM,8999,debit
20/01/2026,UPI/DR/OLA/RIDE BOOKING,215,debit
22/01/2026,UPI/DR/ZOMATO/FOOD ORDER,460,debit
22/01/2026,UPI/DR/PRACTO/LAB TESTS,1800,debit
25/01/2026,UPI/DR/BLINKIT/GROCERIES,2200,debit
26/01/2026,UPI/DR/AMAZON/ORDER #402-2601,2299,debit
27/01/2026,UPI/DR/IRCTC/TRAIN TICKET,1820,debit
28/01/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,540,debit
30/01/2026,UPI/CR/ROHIT VERMA/REPAYMENT,3200,credit
01/02/2026,NEFT/CR/INFOSYS LIMITED/SALARY FEB 2026,92000,credit
01/02/2026,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/02/2026,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
02/02/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,510,debit
03/02/2026,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
04/02/2026,UPI/DR/UBER INDIA/TRIP,230,debit
05/02/2026,UPI/DR/RAMESH PROPERTY/HOUSE RENT FEB,18000,debit
06/02/2026,UPI/DR/ZOMATO/FOOD ORDER,450,debit
07/02/2026,UPI/DR/PARENTS/FAMILY TRANSFER,10000,debit
08/02/2026,UPI/CR/PRIYA MEHTA/FREELANCE WEB DESIGN,18000,credit
08/02/2026,UPI/DR/AIRTEL/POSTPAID BILL FEB,999,debit
10/02/2026,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/02/2026,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/02/2026,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
10/02/2026,UPI/DR/BLINKIT/GROCERIES,1950,debit
10/02/2026,UPI/DR/MYNTRA/ORDER #MYN3301,1799,debit
11/02/2026,UPI/DR/OLA/RIDE BOOKING,185,debit
12/02/2026,UPI/DR/BESCOM/ELECTRICITY BILL,1750,debit
13/02/2026,UPI/DR/KFC INDIA/KFC ORDER,670,debit
14/02/2026,UPI/DR/AMAZON/VALENTINES #402-VAL,2999,debit
14/02/2026,UPI/DR/BOOKMYSHOW/VALENTINES SHOW,1800,debit
14/02/2026,UPI/DR/NETFLIX/SUBSCRIPTION RENEWAL,649,debit
14/02/2026,UPI/DR/NETFLIX/SUBSCRIPTION RENEWAL,649,debit
15/02/2026,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
15/02/2026,UPI/DR/NETMEDS/MEDICINES,720,debit
16/02/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,580,debit
19/02/2026,UPI/DR/RAPIDO/BIKE TAXI,100,debit
20/02/2026,UPI/DR/ZOMATO/FOOD ORDER,490,debit
20/02/2026,UPI/DR/UNACADEMY/SUBSCRIPTION,1500,debit
20/02/2026,UPI/DR/SNEHA REDDY/RESTAURANT SPLIT,950,debit
24/02/2026,UPI/DR/BLINKIT/GROCERIES,2100,debit
25/02/2026,UPI/DR/REDBUS/BUS TICKET,720,debit
27/02/2026,UPI/DR/DOMINOS PIZZA/ONLINE ORDER,899,debit
01/03/2026,NEFT/CR/INFOSYS LIMITED/SALARY MAR 2026,92000,credit
01/03/2026,UPI/DR/NETFLIX/SUBSCRIPTION,649,debit
01/03/2026,UPI/DR/SPOTIFY/SUBSCRIPTION,119,debit
03/03/2026,NACH/DR/HDFC BANK/HOME LOAN EMI,12400,debit
03/03/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,530,debit
05/03/2026,UPI/DR/RAMESH PROPERTY/HOUSE RENT MAR,18000,debit
05/03/2026,UPI/DR/UBER INDIA/TRIP,260,debit
05/03/2026,UPI/DR/APOLLO PHARMACY/MEDICINES,480,debit
07/03/2026,UPI/DR/ZOMATO/FOOD ORDER,470,debit
07/03/2026,UPI/DR/PARENTS/FAMILY TRANSFER,10000,debit
08/03/2026,UPI/DR/NYKAA/ORDER #NYK992,1650,debit
08/03/2026,UPI/DR/AIRTEL/POSTPAID BILL MAR,999,debit
10/03/2026,UPI/DR/GROWW/AXIS BLUECHIP FUND SIP,3000,debit
10/03/2026,UPI/DR/GROWW/MIRAE ASSET LARGECAP SIP,2000,debit
10/03/2026,UPI/DR/GROWW/PARAG PARIKH FLEXI CAP SIP,2500,debit
10/03/2026,UPI/DR/UDEMY/COURSE PURCHASE,649,debit
11/03/2026,UPI/DR/BLINKIT/GROCERIES,2050,debit
12/03/2026,UPI/DR/OLA/RIDE BOOKING,200,debit
12/03/2026,UPI/DR/BESCOM/ELECTRICITY BILL,2250,debit
15/03/2026,UPI/DR/SWIGGY INDIA/SWIGGY ORDER,620,debit
15/03/2026,UPI/DR/ACT FIBERNET/BROADBAND,849,debit
15/03/2026,UPI/CR/FREELANCE CLIENT/ADVANCE PAYMENT,8000,credit
18/03/2026,UPI/DR/MCDONALDS INDIA/MCDRIVE,690,debit
18/03/2026,UPI/DR/FLIPKART/ORDER #FKT3318,2100,debit
20/03/2026,UPI/DR/RAPIDO/BIKE TAXI,110,debit
22/03/2026,UPI/CR/STARTUP HUB/CONSULTING FEE MAR,12000,credit
22/03/2026,UPI/DR/ZOMATO/FOOD ORDER,510,debit
22/03/2026,UPI/DR/BOOKMYSHOW/HOLI EVENT,1200,debit
25/03/2026,UPI/DR/BLINKIT/GROCERIES,2300,debit
25/03/2026,UPI/DR/AMAZON/ORDER #402-3325,3400,debit
28/03/2026,UPI/DR/IRCTC/TRAIN TICKET BLR MUM,2100,debit
